date,Electric Meter Usage,Gas Meter Usage,Gas Meter Usage therms
7/1,52412.4kWh,51580.0ft³_gas,533.4
8/1,47158.8kWh,53015.0ft³_gas,548.24
9/1,52154.8kWh,95500.0ft³_gas,987.59
10/1,69150.2kWh,150475.0ft³_gas,"1,556.10"
11/1,61135.6kWh,159700.0ft³_gas,1651.5
12/1,52064.4kWh,192590.0ft³_gas,"1,991.62"
1/1,58177.4kWh,246625.0ft³_gas,"2,550.41"
2/1,58400.8kWh,223490.0ft³_gas,"2,311.17"
3/1,71255.2kWh,231245.0ft³_gas,"2,391.37"
4/1,67704.2kWh,143220.0ft³_gas,"1,481.08"
5/1,68491.4kWh,128390.0ft³_gas,"1,327.71"
6/1,65622.4kWh,108685.0ft³_gas,"1,123.94"
